ID_Registro,Fecha,Autodescarga_Porcentaje,Capacidad_MWh,Perdida_MWh,Temperatura_Ambiente_C,Configuracion_BESS,Estado_Sistema
1,2000-01-01,0.0134,100,1.346,15.9,BESS_100MWh,Operativo
2,2000-01-02,0.0112,100,1.109,29.0,BESS_100MWh,Operativo
3,2000-01-03,0.0176,100,1.781,7.5,BESS_100MWh,Operativo
4,2000-01-04,0.0218,100,2.127,47.3,BESS_100MWh,Operativo
5,2000-01-05,0.0273,100,2.765,5.8,BESS_100MWh,Operativo
6,2000-01-06,0.0215,100,2.18,4.8,BESS_100MWh,Operativo
7,2000-01-07,0.0219,100,2.187,22.7,BESS_100MWh,Operativo
8,2000-01-08,0.0134,100,1.351,11.9,BESS_100MWh,Operativo
9,2000-01-09,0.0162,100,1.59,40.8,BESS_100MWh,Operativo
10,2000-01-10,0.0251,100,2.514,18.0,BESS_100MWh,Operativo
11,2000-01-11,0.0241,100,2.438,7.2,BESS_100MWh,Operativo
12,2000-01-12,0.0236,100,2.354,20.8,BESS_100MWh,Operativo
13,2000-01-13,0.0294,100,2.953,17.2,BESS_100MWh,Operativo
14,2000-01-14,0.0194,100,1.919,32.9,BESS_100MWh,Operativo
15,2000-01-15,0.0291,100,2.909,21.5,BESS_100MWh,Operativo
16,2000-01-16,0.0127,100,1.282,13.1,BESS_100MWh,Operativo
17,2000-01-17,0.0114,100,1.151,10.5,BESS_100MWh,Operativo
18,2000-01-18,0.0108,100,1.091,12.4,BESS_100MWh,Operativo
19,2000-01-19,0.0272,100,2.706,25.0,BESS_100MWh,Operativo
20,2000-01-20,0.0256,100,2.537,29.2,BESS_100MWh,Operativo
21,2000-01-21,0.0114,100,1.133,26.3,BESS_100MWh,Operativo
22,2000-01-22,0.0274,100,2.784,4.3,BESS_100MWh,Operativo
23,2000-01-23,0.0245,100,2.414,37.0,BESS_100MWh,Operativo
24,2000-01-24,0.023,100,2.329,6.6,BESS_100MWh,Operativo
25,2000-01-25,0.022,100,2.222,9.0,BESS_100MWh,Operativo
26,2000-01-26,0.0201,100,1.993,26.5,BESS_100MWh,Operativo
27,2000-01-27,0.015,100,1.512,9.6,BESS_100MWh,Operativo
28,2000-01-28,0.0105,100,1.04,26.8,BESS_100MWh,Operativo
29,2000-01-29,0.0187,100,1.863,26.1,BESS_100MWh,Operativo
30,2000-01-30,0.0286,100,2.886,11.5,BESS_100MWh,Operativo
31,2000-01-31,0.0202,100,2.025,16.7,BESS_100MWh,Operativo
32,2000-02-01,0.0258,100,2.581,21.3,BESS_100MWh,Operativo
33,2000-02-02,0.0192,100,1.897,34.1,BESS_100MWh,Operativo
34,2000-02-03,0.0123,100,1.233,19.2,BESS_100MWh,Operativo
35,2000-02-04,0.0195,100,1.911,42.6,BESS_100MWh,Operativo
36,2000-02-05,0.0243,100,2.415,27.8,BESS_100MWh,Operativo
37,2000-02-06,0.0226,100,2.262,19.5,BESS_100MWh,Operativo
38,2000-02-07,0.0181,100,1.818,17.3,BESS_100MWh,Operativo
39,2000-02-08,0.025,100,2.501,18.2,BESS_100MWh,Operativo
40,2000-02-09,0.0288,100,2.872,23.1,BESS_100MWh,Operativo
41,2000-02-10,0.0272,100,2.752,9.2,BESS_100MWh,Operativo
42,2000-02-11,0.0125,100,1.237,28.0,BESS_100MWh,Operativo
43,2000-02-12,0.0134,100,1.335,25.5,BESS_100MWh,Operativo
44,2000-02-13,0.0163,100,1.642,14.6,BESS_100MWh,Operativo
45,2000-02-14,0.0235,100,2.356,16.3,BESS_100MWh,Operativo
46,2000-02-15,0.0145,100,1.428,34.9,BESS_100MWh,Operativo
47,2000-02-16,0.0195,100,1.949,22.4,BESS_100MWh,Operativo
48,2000-02-17,0.0261,100,2.613,17.2,BESS_100MWh,Operativo
49,2000-02-18,0.0288,100,2.868,25.2,BESS_100MWh,Operativo
50,2000-02-19,0.0177,100,1.755,31.0,BESS_100MWh,Operativo
51,2000-02-20,0.02,100,1.993,25.6,BESS_100MWh,Operativo
52,2000-02-21,0.0264,100,2.669,9.9,BESS_100MWh,Operativo
53,2000-02-22,0.0242,100,2.394,30.6,BESS_100MWh,Operativo
54,2000-02-23,0.0167,100,1.655,28.5,BESS_100MWh,Operativo
55,2000-02-24,0.0109,100,1.09,24.3,BESS_100MWh,Operativo
56,2000-02-25,0.0295,100,2.93,28.1,BESS_100MWh,Operativo
57,2000-02-26,0.0099,100,1.001,10.1,BESS_100MWh,Operativo
58,2000-02-27,0.0191,100,1.889,29.2,BESS_100MWh,Operativo
59,2000-02-28,0.0187,100,1.903,3.5,BESS_100MWh,Operativo
60,2000-02-29,0.0229,100,2.277,25.2,BESS_100MWh,Operativo
61,2000-03-01,0.0284,100,2.855,14.4,BESS_100MWh,Operativo
62,2000-03-02,0.0163,100,1.62,24.7,BESS_100MWh,Operativo
63,2000-03-03,0.0121,100,1.217,11.6,BESS_100MWh,Operativo
64,2000-03-04,0.0251,100,2.491,26.5,BESS_100MWh,Operativo
65,2000-03-05,0.0126,100,1.263,20.9,BESS_100MWh,Operativo
66,2000-03-06,0.0272,100,2.677,36.0,BESS_100MWh,Operativo
67,2000-03-07,0.0205,100,2.038,28.1,BESS_100MWh,Operativo
68,2000-03-08,0.0158,100,1.601,8.8,BESS_100MWh,Operativo
69,2000-03-09,0.0119,100,1.184,25.4,BESS_100MWh,Operativo
70,2000-03-10,0.0112,100,1.115,27.8,BESS_100MWh,Operativo
71,2000-03-11,0.0287,100,2.854,26.5,BESS_100MWh,Operativo
72,2000-03-12,0.0104,100,1.044,12.0,BESS_100MWh,Operativo
73,2000-03-13,0.0196,100,1.958,23.7,BESS_100MWh,Operativo
74,2000-03-14,0.0152,100,1.54,3.7,BESS_100MWh,Operativo
75,2000-03-15,0.0197,100,1.994,9.2,BESS_100MWh,Operativo
76,2000-03-16,0.0281,100,2.768,36.3,BESS_100MWh,Operativo
77,2000-03-17,0.0276,100,2.716,36.9,BESS_100MWh,Operativo
78,2000-03-18,0.026,100,2.621,13.5,BESS_100MWh,Operativo
79,2000-03-19,0.0267,100,2.635,33.7,BESS_100MWh,Operativo
80,2000-03-20,0.0161,100,1.604,22.5,BESS_100MWh,Operativo
81,2000-03-21,0.015,100,1.494,24.0,BESS_100MWh,Operativo
82,2000-03-22,0.0214,100,2.177,1.7,BESS_100MWh,Operativo
83,2000-03-23,0.0168,100,1.641,46.4,BESS_100MWh,Operativo
84,2000-03-24,0.0155,100,1.555,13.8,BESS_100MWh,Operativo
85,2000-03-25,0.0112,100,1.114,22.4,BESS_100MWh,Operativo
86,2000-03-26,0.0282,100,2.844,11.4,BESS_100MWh,Operativo
87,2000-03-27,0.0188,100,1.891,14.2,BESS_100MWh,Operativo
88,2000-03-28,0.029,100,2.905,20.1,BESS_100MWh,Operativo
89,2000-03-29,0.0274,100,2.717,30.4,BESS_100MWh,Operativo
90,2000-03-30,0.0187,100,1.874,19.7,BESS_100MWh,Operativo
91,2000-03-31,0.0189,100,1.915,8.6,BESS_100MWh,Operativo
92,2000-04-01,0.028,100,2.763,31.8,BESS_100MWh,Operativo
93,2000-04-02,0.0145,100,1.427,33.0,BESS_100MWh,Operativo
94,2000-04-03,0.0197,100,1.993,7.5,BESS_100MWh,Operativo
95,2000-04-04,0.0218,100,2.169,25.4,BESS_100MWh,Operativo
96,2000-04-05,0.0201,100,2.021,12.9,BESS_100MWh,Operativo
97,2000-04-06,0.012,100,1.208,13.9,BESS_100MWh,Operativo
98,2000-04-07,0.0189,100,1.891,20.9,BESS_100MWh,Operativo
99,2000-04-08,0.0182,100,1.831,14.8,BESS_100MWh,Operativo
100,2000-04-09,0.0198,100,2.006,8.6,BESS_100MWh,Operativo
101,2000-04-10,0.021,100,2.098,22.7,BESS_100MWh,Operativo
102,2000-04-11,0.015,100,1.513,9.1,BESS_100MWh,Operativo
103,2000-04-12,0.0134,100,1.326,31.5,BESS_100MWh,Operativo
104,2000-04-13,0.0288,100,2.919,5.8,BESS_100MWh,Operativo
105,2000-04-14,0.0264,100,2.649,16.6,BESS_100MWh,Operativo
106,2000-04-15,0.0193,100,1.923,24.4,BESS_100MWh,Operativo
107,2000-04-16,0.0187,100,1.893,6.0,BESS_100MWh,Operativo
108,2000-04-17,0.0268,100,2.687,18.1,BESS_100MWh,Operativo
109,2000-04-18,0.0163,100,1.663,-2.2,BESS_100MWh,Operativo
110,2000-04-19,0.0169,100,1.695,15.9,BESS_100MWh,Operativo
111,2000-04-20,0.0223,100,2.228,18.8,BESS_100MWh,Operativo
112,2000-04-21,0.0139,100,1.38,27.5,BESS_100MWh,Operativo
113,2000-04-22,0.0104,100,1.027,34.1,BESS_100MWh,Operativo
114,2000-04-23,0.0208,100,2.105,7.5,BESS_100MWh,Operativo
115,2000-04-24,0.0293,100,2.96,9.6,BESS_100MWh,Operativo
116,2000-04-25,0.02,100,2.02,7.7,BESS_100MWh,Operativo
117,2000-04-26,0.0202,100,1.993,31.8,BESS_100MWh,Operativo
118,2000-04-27,0.0243,100,2.428,20.7,BESS_100MWh,Operativo
119,2000-04-28,0.0134,100,1.356,7.8,BESS_100MWh,Operativo
120,2000-04-29,0.0185,100,1.842,23.3,BESS_100MWh,Operativo
121,2000-04-30,0.028,100,2.819,14.0,BESS_100MWh,Operativo
122,2000-05-01,0.0195,100,1.961,14.8,BESS_100MWh,Operativo
123,2000-05-02,0.0284,100,2.789,36.5,BESS_100MWh,Operativo
124,2000-05-03,0.0245,100,2.494,1.7,BESS_100MWh,Operativo
125,2000-05-04,0.011,100,1.112,7.3,BESS_100MWh,Operativo
126,2000-05-05,0.0186,100,1.86,20.8,BESS_100MWh,Operativo
127,2000-05-06,0.0298,100,2.939,34.0,BESS_100MWh,Operativo
128,2000-05-07,0.0272,100,2.745,10.6,BESS_100MWh,Operativo
129,2000-05-08,0.0205,100,2.011,37.8,BESS_100MWh,Operativo
130,2000-05-09,0.02,100,2.006,18.0,BESS_100MWh,Operativo
131,2000-05-10,0.022,100,2.165,37.0,BESS_100MWh,Operativo
132,2000-05-11,0.0269,100,2.699,16.6,BESS_100MWh,Operativo
133,2000-05-12,0.0192,100,1.908,28.2,BESS_100MWh,Operativo
134,2000-05-13,0.0213,100,2.126,19.8,BESS_100MWh,Operativo
135,2000-05-14,0.0194,100,1.95,17.3,BESS_100MWh,Operativo
136,2000-05-15,0.019,100,1.898,20.7,BESS_100MWh,Operativo
137,2000-05-16,0.0166,100,1.649,28.9,BESS_100MWh,Operativo
138,2000-05-17,0.0202,100,2.018,18.6,BESS_100MWh,Operativo
139,2000-05-18,0.0215,100,2.168,14.1,BESS_100MWh,Operativo
140,2000-05-19,0.0127,100,1.253,37.1,BESS_100MWh,Operativo
141,2000-05-20,0.0289,100,2.818,44.5,BESS_100MWh,Operativo
142,2000-05-21,0.0122,100,1.205,33.5,BESS_100MWh,Operativo
143,2000-05-22,0.0254,100,2.585,3.6,BESS_100MWh,Operativo
144,2000-05-23,0.0135,100,1.344,23.6,BESS_100MWh,Operativo
145,2000-05-24,0.0223,100,2.228,20.8,BESS_100MWh,Operativo
146,2000-05-25,0.0275,100,2.721,31.2,BESS_100MWh,Operativo
147,2000-05-26,0.0135,100,1.375,-0.1,BESS_100MWh,Operativo
148,2000-05-27,0.0168,100,1.646,38.2,BESS_100MWh,Operativo
149,2000-05-28,0.012,100,1.2,22.6,BESS_100MWh,Operativo
150,2000-05-29,0.0172,100,1.724,18.0,BESS_100MWh,Operativo
151,2000-05-30,0.027,100,2.716,14.2,BESS_100MWh,Operativo
152,2000-05-31,0.0197,100,1.956,29.3,BESS_100MWh,Operativo
153,2000-06-01,0.0191,100,1.907,22.4,BESS_100MWh,Operativo
154,2000-06-02,0.0189,100,1.875,28.4,BESS_100MWh,Operativo
155,2000-06-03,0.0203,100,2.039,15.2,BESS_100MWh,Operativo
156,2000-06-04,0.0185,100,1.832,28.6,BESS_100MWh,Operativo
