ID_Registro,Fecha,Costo_Falla_USD,Equipo_Afectado,Severidad,Duracion_Horas,MWh_No_Suministrado,Multa_Incumplimiento_USD,Costo_Total_USD
1,2006-12-15,3427.23,Sistema_Auxiliar,Menor,8.3,39.64,3567.51,6994.74
2,2010-03-29,5335.96,TV,Moderada,3.7,147.18,13246.18,18582.14
3,2005-07-11,17901.87,CC1,Crítica,29.7,11.34,1020.83,18922.7
4,2016-02-28,10438.25,BESS,Crítica,18.2,96.65,8698.8,19137.04
5,2014-02-20,10219.02,BESS,Crítica,22.9,173.39,15604.98,25824.0
6,2006-01-21,11076.29,CC2,Crítica,45.3,117.02,10532.23,21608.52
7,2008-12-11,6630.67,BESS,Crítica,21.7,33.19,2986.85,9617.52
8,2007-02-04,9365.24,BESS,Moderada,32.1,69.23,6230.26,15595.5
9,2005-02-23,8875.06,Sistema_Auxiliar,Mayor,40.6,95.45,8590.8,17465.86
10,2009-09-27,6472.72,BESS,Menor,46.2,170.46,15341.53,21814.25
11,2012-12-03,5422.28,CC2,Menor,14.2,113.11,10180.1,15602.38
12,2008-06-05,6892.3,CC1,Menor,47.4,156.73,14105.39,20997.69
13,2011-05-16,3950.25,TV,Mayor,34.2,148.51,13366.02,17316.27
14,2000-09-17,7587.28,CC2,Menor,44.0,171.51,15435.66,23022.94
15,2011-02-02,4478.38,Sistema_Auxiliar,Mayor,28.8,62.2,5597.74,10076.12
16,2002-08-15,3069.73,TV,Menor,34.9,54.84,4935.34,8005.07
17,2013-12-25,3283.04,CC2,Moderada,21.6,48.33,4349.4,7632.43
18,2006-08-29,5200.49,BESS,Moderada,7.5,124.84,11235.54,16436.03
19,2014-06-20,7958.57,Sistema_Auxiliar,Crítica,29.1,142.01,12780.82,20739.39
20,2001-06-19,6925.47,CC1,Menor,42.0,162.7,14642.79,21568.27
21,2011-12-06,16646.24,TV,Crítica,38.9,180.26,16223.16,32869.4
22,2006-07-09,4901.47,CC1,Mayor,21.1,165.42,14888.05,19789.53
