ID_Registro,Fecha,Demanda_MWh,Semana,Mes,Dia_Semana,Es_Feriado,Temperatura_Estimada_C,Ciclo_Simulacion
1,2000-01-01,1677.4677324496772,52,1,Saturday,1,23.9,Ciclo_1
2,2000-01-02,1680.8098981224434,52,1,Sunday,0,37.2,Ciclo_1
3,2000-01-03,1822.4225483934197,1,1,Monday,0,23.1,Ciclo_1
4,2000-01-04,1862.559523433103,1,1,Tuesday,0,31.1,Ciclo_1
5,2000-01-05,1817.214524666258,1,1,Wednesday,0,29.3,Ciclo_1
6,2000-01-06,1817.3495393060189,1,1,Thursday,0,21.3,Ciclo_1
7,2000-01-07,1832.9625437137554,1,1,Friday,0,9.7,Ciclo_1
8,2000-01-08,1628.29584331978,1,1,Saturday,0,20.5,Ciclo_1
9,2000-01-09,1644.0571424957793,1,1,Sunday,0,27.5,Ciclo_1
10,2000-01-10,1807.5089640867393,2,1,Monday,0,13.7,Ciclo_1
11,2000-01-11,1860.0451524369043,2,1,Tuesday,0,23.2,Ciclo_1
12,2000-01-12,1829.1002396747003,2,1,Wednesday,0,13.6,Ciclo_1
13,2000-01-13,1815.5567219583768,2,1,Thursday,0,25.9,Ciclo_1
14,2000-01-14,1802.1305120438128,2,1,Friday,0,28.0,Ciclo_1
15,2000-01-15,1653.1805907760024,2,1,Saturday,0,22.7,Ciclo_1
16,2000-01-16,1653.1562438737499,2,1,Sunday,0,39.8,Ciclo_1
17,2000-01-17,1827.3074223270576,3,1,Monday,0,16.5,Ciclo_1
18,2000-01-18,1845.8110680385248,3,1,Tuesday,0,15.2,Ciclo_1
19,2000-01-19,1832.2299232914481,3,1,Wednesday,0,9.3,Ciclo_1
20,2000-01-20,1798.2084474265012,3,1,Thursday,0,26.6,Ciclo_1
21,2000-01-21,1843.9518500483778,3,1,Friday,0,26.4,Ciclo_1
22,2000-01-22,1663.9153613143533,3,1,Saturday,0,22.6,Ciclo_1
23,2000-01-23,1633.7495494242119,3,1,Sunday,0,19.2,Ciclo_1
24,2000-01-24,1817.4115132390232,4,1,Monday,0,33.5,Ciclo_1
25,2000-01-25,1835.2113121399339,4,1,Tuesday,0,10.9,Ciclo_1
26,2000-01-26,1834.7797079636503,4,1,Wednesday,0,21.9,Ciclo_1
27,2000-01-27,1812.6240269143932,4,1,Thursday,0,29.9,Ciclo_1
28,2000-01-28,1850.425912692641,4,1,Friday,0,32.5,Ciclo_1
29,2000-01-29,1647.8995263420843,4,1,Saturday,0,22.5,Ciclo_1
30,2000-01-30,1673.8068436928866,4,1,Sunday,0,32.8,Ciclo_1
31,2000-01-31,1816.9998292554912,5,1,Monday,0,23.5,Ciclo_1
32,2000-02-01,1803.1198816171404,5,2,Tuesday,0,15.4,Ciclo_1
33,2000-02-02,1845.589732563507,5,2,Wednesday,0,35.8,Ciclo_1
34,2000-02-03,1826.0126097982063,5,2,Thursday,0,33.0,Ciclo_1
35,2000-02-04,1835.6097159949668,5,2,Friday,0,19.8,Ciclo_1
36,2000-02-05,1674.4730634726905,5,2,Saturday,0,37.3,Ciclo_1
37,2000-02-06,1665.681618404993,5,2,Sunday,0,37.5,Ciclo_1
38,2000-02-07,1769.6229708279852,6,2,Monday,0,31.6,Ciclo_1
39,2000-02-08,1829.5318438509835,6,2,Tuesday,0,22.6,Ciclo_1
40,2000-02-09,1829.6380848789922,6,2,Wednesday,0,9.1,Ciclo_1
41,2000-02-10,1822.743484832195,6,2,Thursday,0,27.9,Ciclo_1
42,2000-02-11,1860.3173950711748,6,2,Friday,0,20.9,Ciclo_1
43,2000-02-12,1648.5790262503874,6,2,Saturday,0,21.0,Ciclo_1
44,2000-02-13,1686.7350487886636,6,2,Sunday,0,27.6,Ciclo_1
45,2000-02-14,1815.8798717519012,7,2,Monday,0,29.1,Ciclo_1
46,2000-02-15,1829.755392680752,7,2,Tuesday,0,32.7,Ciclo_1
47,2000-02-16,1812.066261517349,7,2,Wednesday,0,22.4,Ciclo_1
48,2000-02-17,1818.9276612428928,7,2,Thursday,0,13.3,Ciclo_1
49,2000-02-18,1834.1599686336003,7,2,Friday,0,27.1,Ciclo_1
50,2000-02-19,1666.586880497814,7,2,Saturday,0,23.1,Ciclo_1
51,2000-02-20,1635.1461762715735,7,2,Sunday,0,21.6,Ciclo_1
52,2000-02-21,1820.0210584894794,8,2,Monday,0,18.6,Ciclo_1
53,2000-02-22,1824.0360840062992,8,2,Tuesday,0,28.2,Ciclo_1
54,2000-02-23,1869.354522516141,8,2,Wednesday,0,26.4,Ciclo_1
55,2000-02-24,1833.307827054783,8,2,Thursday,0,24.4,Ciclo_1
56,2000-02-25,1785.136374271964,8,2,Friday,0,24.8,Ciclo_1
57,2000-02-26,1667.8064389651609,8,2,Saturday,0,44.7,Ciclo_1
58,2000-02-27,1662.2155048662185,8,2,Sunday,0,27.4,Ciclo_1
59,2000-02-28,1826.83819112002,9,2,Monday,0,15.7,Ciclo_1
60,2000-02-29,1852.9004433033379,9,2,Tuesday,0,31.0,Ciclo_1
61,2000-03-01,1590.5780650220393,9,3,Wednesday,0,17.7,Ciclo_1
62,2000-03-02,1604.1193693836124,9,3,Thursday,0,13.8,Ciclo_1
63,2000-03-03,1586.0606079769304,9,3,Friday,0,42.5,Ciclo_1
64,2000-03-04,1434.2820193383968,9,3,Saturday,0,20.5,Ciclo_1
65,2000-03-05,1458.4120128248094,9,3,Sunday,0,21.0,Ciclo_1
66,2000-03-06,1538.747936837179,10,3,Monday,0,25.5,Ciclo_1
