ID_Registro,Fecha,Demanda_MWh,Semana,Mes,Dia_Semana,Es_Feriado,Temperatura_Estimada_C,Ciclo_Simulacion
1,2000-07-01,4318.9,26,7,Saturday,0,0.3,Ciclo_1
2,2000-07-02,4129.12,26,7,Sunday,0,11.1,Ciclo_1
3,2000-07-03,5169.67,27,7,Monday,0,17.2,Ciclo_1
4,2000-07-04,5157.18,27,7,Tuesday,0,12.3,Ciclo_1
5,2000-07-05,5180.54,27,7,Wednesday,0,10.5,Ciclo_1
6,2000-07-06,5162.43,27,7,Thursday,0,18.8,Ciclo_1
7,2000-07-07,5141.93,27,7,Friday,0,11.8,Ciclo_1
8,2000-07-08,4251.97,27,7,Saturday,0,19.8,Ciclo_1
9,2000-07-09,4123.03,27,7,Sunday,0,22.7,Ciclo_1
10,2000-07-10,5010.83,28,7,Monday,0,8.1,Ciclo_1
11,2000-07-11,5241.37,28,7,Tuesday,0,18.2,Ciclo_1
12,2000-07-12,4983.58,28,7,Wednesday,0,5.4,Ciclo_1
13,2000-07-13,5185.34,28,7,Thursday,0,26.1,Ciclo_1
14,2000-07-14,5301.55,28,7,Friday,0,10.5,Ciclo_1
15,2000-07-15,3965.7,28,7,Saturday,0,12.5,Ciclo_1
16,2000-07-16,4299.48,28,7,Sunday,0,9.7,Ciclo_1
17,2000-07-17,5049.91,29,7,Monday,0,13.0,Ciclo_1
18,2000-07-18,5038.93,29,7,Tuesday,0,23.2,Ciclo_1
19,2000-07-19,5334.01,29,7,Wednesday,0,15.9,Ciclo_1
20,2000-07-20,5162.77,29,7,Thursday,0,8.0,Ciclo_1
21,2000-07-21,5149.51,29,7,Friday,0,21.8,Ciclo_1
22,2000-07-22,4360.24,29,7,Saturday,0,13.2,Ciclo_1
23,2000-07-23,4366.88,29,7,Sunday,0,15.3,Ciclo_1
24,2000-07-24,5199.55,30,7,Monday,0,17.9,Ciclo_1
25,2000-07-25,5214.04,30,7,Tuesday,0,17.2,Ciclo_1
26,2000-07-26,5171.37,30,7,Wednesday,0,10.5,Ciclo_1
27,2000-07-27,5086.22,30,7,Thursday,0,8.0,Ciclo_1
28,2000-07-28,4959.38,30,7,Friday,0,6.5,Ciclo_1
29,2000-07-29,4143.1,30,7,Saturday,0,9.0,Ciclo_1
30,2000-07-30,4443.47,30,7,Sunday,0,11.1,Ciclo_1
31,2000-07-31,5181.01,31,7,Monday,0,13.6,Ciclo_1
32,2000-08-01,5342.51,31,8,Tuesday,0,8.5,Ciclo_1
33,2000-08-02,5125.3,31,8,Wednesday,0,11.4,Ciclo_1
34,2000-08-03,5288.38,31,8,Thursday,0,20.1,Ciclo_1
35,2000-08-04,5208.95,31,8,Friday,0,19.4,Ciclo_1
36,2000-08-05,4277.32,31,8,Saturday,0,11.0,Ciclo_1
37,2000-08-06,4397.45,31,8,Sunday,0,14.9,Ciclo_1
38,2000-08-07,5063.74,32,8,Monday,0,18.0,Ciclo_1
39,2000-08-08,5126.98,32,8,Tuesday,0,10.0,Ciclo_1
40,2000-08-09,5259.16,32,8,Wednesday,0,11.5,Ciclo_1
41,2000-08-10,5198.68,32,8,Thursday,0,16.0,Ciclo_1
