ID_Registro,Fecha,Generacion_MW,Eficiencia_Pct,Estado_Operacional,Es_Falla,Ola_Calor,Tipo_Combustible,Costo_Combustible_USD,Ciclo_Simulacion
1,2000-01-01,804.59,94.66,NORMAL,0,0,Gas_Natural,319775.91,CC1_Ciclo_1
2,2000-01-02,805.93,94.82,NORMAL,0,0,Gas_Natural,427094.3,CC1_Ciclo_1
3,2000-01-03,817.13,96.13,NORMAL,0,0,Gas_Natural,330132.61,CC1_Ciclo_1
4,2000-01-04,712.01,83.77,NORMAL,0,0,Gas_Natural,306091.46,CC1_Ciclo_1
5,2000-01-05,617.65,72.66,NORMAL,0,0,Gas_Natural,338745.0,CC1_Ciclo_1
6,2000-01-06,685.29,80.62,NORMAL,0,0,Gas_Natural,254345.37,CC1_Ciclo_1
7,2000-01-07,575.73,67.73,NORMAL,0,1,Gas_Natural,220760.26,CC1_Ciclo_1
8,2000-01-08,657.99,77.41,NORMAL,0,1,Gas_Natural,315072.3,CC1_Ciclo_1
9,2000-01-09,792.44,93.23,NORMAL,0,0,Gas_Natural,384188.56,CC1_Ciclo_1
10,2000-01-10,655.38,77.1,NORMAL,0,0,Gas_Natural,357855.78,CC1_Ciclo_1
11,2000-01-11,792.83,93.27,NORMAL,0,0,Gas_Natural,337051.99,CC1_Ciclo_1
12,2000-01-12,656.16,77.2,NORMAL,0,0,Gas_Natural,321679.47,CC1_Ciclo_1
13,2000-01-13,731.78,86.09,NORMAL,0,1,Gas_Natural,391474.77,CC1_Ciclo_1
14,2000-01-14,625.94,73.64,NORMAL,0,0,Gas_Natural,242744.45,CC1_Ciclo_1
15,2000-01-15,740.68,87.14,NORMAL,0,0,Gas_Natural,324449.98,CC1_Ciclo_1
16,2000-01-16,740.58,87.13,NORMAL,0,0,Gas_Natural,350541.29,CC1_Ciclo_1
17,2000-01-17,787.18,92.61,NORMAL,0,0,Gas_Natural,376676.05,CC1_Ciclo_1
18,2000-01-18,646.09,76.01,NORMAL,0,1,Gas_Natural,249321.1,CC1_Ciclo_1
19,2000-01-19,760.02,89.41,NORMAL,0,0,Gas_Natural,319078.74,CC1_Ciclo_1
20,2000-01-20,775.11,91.19,NORMAL,0,0,Gas_Natural,293358.45,CC1_Ciclo_1
21,2000-01-21,640.89,75.4,NORMAL,0,0,Gas_Natural,364764.25,CC1_Ciclo_1
22,2000-01-22,656.78,77.27,NORMAL,0,0,Gas_Natural,321454.08,CC1_Ciclo_1
23,2000-01-23,804.42,94.64,NORMAL,0,0,Gas_Natural,372049.1,CC1_Ciclo_1
24,2000-01-24,730.35,85.92,NORMAL,0,1,Gas_Natural,352450.95,CC1_Ciclo_1
25,2000-01-25,602.83,70.92,NORMAL,0,1,Gas_Natural,263778.13,CC1_Ciclo_1
26,2000-01-26,759.83,89.39,NORMAL,0,0,Gas_Natural,450750.78,CC1_Ciclo_1
27,2000-01-27,638.84,75.16,NORMAL,0,0,Gas_Natural,235636.57,CC1_Ciclo_1
