ID_Registro,Fecha,Generacion_MW,Eficiencia_Pct,Estado_Operacional,Es_Falla,Restriccion_Gas,Tipo_Combustible,Costo_Combustible_USD,Ciclo_Simulacion
1,2000-01-01,479.6,63.95,NORMAL,0,0,Gas_Natural,263302.51,CC2_Ciclo_1
2,2000-01-02,568.99,75.86,NORMAL,0,0,Gas_Natural,239290.35,CC2_Ciclo_1
3,2000-01-03,624.42,83.26,NORMAL,0,0,Gas_Natural,318588.95,CC2_Ciclo_1
4,2000-01-04,556.32,74.18,NORMAL,0,0,Gas_Natural,279389.49,CC2_Ciclo_1
5,2000-01-05,550.34,73.38,NORMAL,0,0,Gas_Natural,297261.81,CC2_Ciclo_1
6,2000-01-06,519.43,69.26,NORMAL,0,0,Gas_Natural,301135.85,CC2_Ciclo_1
7,2000-01-07,712.92,95.06,NORMAL,0,0,Gas_Natural,290248.85,CC2_Ciclo_1
8,2000-01-08,597.23,79.63,NORMAL,0,0,Gas_Natural,291352.34,CC2_Ciclo_1
9,2000-01-09,545.99,72.8,NORMAL,0,0,Gas_Natural,244145.49,CC2_Ciclo_1
10,2000-01-10,538.39,71.79,NORMAL,0,0,Gas_Natural,279242.44,CC2_Ciclo_1
11,2000-01-11,544.46,72.59,NORMAL,0,0,Gas_Natural,245657.29,CC2_Ciclo_1
12,2000-01-12,617.71,82.36,NORMAL,0,0,Gas_Natural,343189.88,CC2_Ciclo_1
13,2000-01-13,719.45,95.93,NORMAL,0,0,Gas_Natural,400178.56,CC2_Ciclo_1
14,2000-01-14,509.64,67.95,NORMAL,0,0,Gas_Natural,216451.87,CC2_Ciclo_1
15,2000-01-15,533.07,71.08,NORMAL,0,0,Gas_Natural,220766.05,CC2_Ciclo_1
16,2000-01-16,524.04,69.87,NORMAL,0,0,Gas_Natural,267237.58,CC2_Ciclo_1
17,2000-01-17,661.03,88.14,NORMAL,0,0,Gas_Natural,321713.58,CC2_Ciclo_1
18,2000-01-18,571.98,76.26,NORMAL,0,0,Gas_Natural,213079.14,CC2_Ciclo_1
19,2000-01-19,671.02,89.47,NORMAL,0,0,Gas_Natural,343669.18,CC2_Ciclo_1
20,2000-01-20,657.79,87.71,NORMAL,0,0,Gas_Natural,378685.33,CC2_Ciclo_1
21,2000-01-21,629.79,83.97,NORMAL,0,0,Gas_Natural,309374.51,CC2_Ciclo_1
22,2000-01-22,523.41,69.79,FALLA,1,0,Gas_Natural,269884.64,CC2_Ciclo_1
23,2000-01-23,615.01,82.0,NORMAL,0,0,Gas_Natural,293984.75,CC2_Ciclo_1
24,2000-01-24,612.86,81.71,NORMAL,0,0,Gas_Natural,272473.62,CC2_Ciclo_1
25,2000-01-25,614.23,81.9,NORMAL,0,0,Gas_Natural,366971.55,CC2_Ciclo_1
26,2000-01-26,644.71,85.96,NORMAL,0,0,Gas_Natural,252861.22,CC2_Ciclo_1
27,2000-01-27,551.2,73.49,NORMAL,0,0,Gas_Natural,315530.13,CC2_Ciclo_1
28,2000-01-28,713.88,95.18,NORMAL,0,0,Gas_Natural,364203.25,CC2_Ciclo_1
29,2000-01-29,577.64,77.02,NORMAL,0,0,Gas_Natural,253563.02,CC2_Ciclo_1
30,2000-01-30,562.31,74.97,NORMAL,0,0,Gas_Natural,284632.35,CC2_Ciclo_1
31,2000-01-31,539.61,71.95,NORMAL,0,0,Gas_Natural,308165.6,CC2_Ciclo_1
32,2000-02-01,586.88,78.25,NORMAL,0,0,Gas_Natural,290084.08,CC2_Ciclo_1
33,2000-02-02,699.52,93.27,NORMAL,0,0,Gas_Natural,337399.2,CC2_Ciclo_1
34,2000-02-03,507.54,67.67,NORMAL,0,0,Gas_Natural,200300.57,CC2_Ciclo_1
35,2000-02-04,635.51,84.73,NORMAL,0,0,Gas_Natural,313357.73,CC2_Ciclo_1
36,2000-02-05,652.16,86.95,NORMAL,0,0,Gas_Natural,296109.13,CC2_Ciclo_1
37,2000-02-06,495.35,66.05,NORMAL,0,0,Gas_Natural,258936.17,CC2_Ciclo_1
38,2000-02-07,551.1,73.48,FALLA,1,0,Gas_Natural,227412.45,CC2_Ciclo_1
39,2000-02-08,662.08,88.28,NORMAL,0,0,Gas_Natural,383356.23,CC2_Ciclo_1
40,2000-02-09,594.93,79.32,NORMAL,0,0,Gas_Natural,217471.66,CC2_Ciclo_1
41,2000-02-10,544.21,72.56,NORMAL,0,0,Gas_Natural,325704.8,CC2_Ciclo_1
