ID_Registro,Fecha,Generacion_MW,Eficiencia_Pct,Estado_Operacional,Es_Falla,Tipo_Combustible,Costo_Combustible_USD,Presion_Vapor_Bar,Ciclo_Simulacion
1,2000-01-01,655.84,93.03,NORMAL,0,Gas_Natural,307881.44,129.4,TV_Ciclo_1
2,2000-01-02,619.61,87.89,FALLA,1,Gas_Natural,396480.36,156.1,TV_Ciclo_1
3,2000-01-03,417.33,59.2,NORMAL,0,Gas_Natural,198657.72,138.3,TV_Ciclo_1
4,2000-01-04,514.04,72.91,NORMAL,0,Gas_Natural,257993.58,156.7,TV_Ciclo_1
5,2000-01-05,478.31,67.85,NORMAL,0,Gas_Natural,296762.03,132.0,TV_Ciclo_1
6,2000-01-06,522.31,74.09,NORMAL,0,Gas_Natural,231461.6,156.5,TV_Ciclo_1
7,2000-01-07,427.33,60.61,NORMAL,0,Gas_Natural,194623.59,161.1,TV_Ciclo_1
8,2000-01-08,468.45,66.45,NORMAL,0,Gas_Natural,258040.01,122.1,TV_Ciclo_1
9,2000-01-09,460.43,65.31,NORMAL,0,Gas_Natural,256376.62,152.8,TV_Ciclo_1
10,2000-01-10,668.23,94.78,NORMAL,0,Gas_Natural,412987.27,176.4,TV_Ciclo_1
11,2000-01-11,543.94,77.15,NORMAL,0,Gas_Natural,270404.46,169.7,TV_Ciclo_1
12,2000-01-12,459.86,65.23,NORMAL,0,Gas_Natural,258555.0,128.5,TV_Ciclo_1
13,2000-01-13,450.82,63.95,NORMAL,0,Gas_Natural,273631.95,166.3,TV_Ciclo_1
14,2000-01-14,522.38,74.1,NORMAL,0,Gas_Natural,240193.2,171.8,TV_Ciclo_1
15,2000-01-15,496.78,70.47,NORMAL,0,Gas_Natural,253381.82,163.8,TV_Ciclo_1
16,2000-01-16,622.02,88.23,NORMAL,0,Gas_Natural,339208.87,127.2,TV_Ciclo_1
17,2000-01-17,626.91,88.92,NORMAL,0,Gas_Natural,345123.27,151.4,TV_Ciclo_1
18,2000-01-18,435.0,61.7,NORMAL,0,Gas_Natural,199184.33,121.9,TV_Ciclo_1
19,2000-01-19,512.4,72.68,NORMAL,0,Gas_Natural,252013.03,144.6,TV_Ciclo_1
20,2000-01-20,476.57,67.6,NORMAL,0,Gas_Natural,214683.81,137.4,TV_Ciclo_1
21,2000-01-21,648.32,91.96,NORMAL,0,Gas_Natural,415670.87,168.2,TV_Ciclo_1
22,2000-01-22,651.5,92.41,NORMAL,0,Gas_Natural,365780.23,168.4,TV_Ciclo_1
23,2000-01-23,492.36,69.84,NORMAL,0,Gas_Natural,263171.54,169.1,TV_Ciclo_1
24,2000-01-24,418.0,59.29,NORMAL,0,Gas_Natural,231812.26,145.0,TV_Ciclo_1
25,2000-01-25,459.04,65.11,NORMAL,0,Gas_Natural,233912.18,151.1,TV_Ciclo_1
26,2000-01-26,504.61,71.58,NORMAL,0,Gas_Natural,335680.1,177.7,TV_Ciclo_1
