ID_Registro,Fecha,PerdidaCC1,PerdidaCC2,PerdidaCC1_Pct,PerdidaCC2_Pct,Causa,Duracion_Horas,Perdida_Ingresos_CC1_USD,Perdida_Ingresos_CC2_USD
1,2016-08-09,63.0,59.29,7.41,7.9,Degradación_Equipos,54.2,170592.94,160542.23
2,2003-11-11,46.12,35.74,5.43,4.77,Restricciones_Combustible,49.5,114232.86,88522.46
3,2015-07-31,60.41,41.98,7.11,5.6,Mantenimiento_Programado,29.4,88833.37,61731.77
4,2005-07-14,33.75,39.12,3.97,5.22,Restricciones_Combustible,23.5,39615.43,45917.01
5,2009-10-16,40.49,42.69,4.76,5.69,Degradación_Equipos,4.5,9194.29,9692.99
6,2019-03-13,63.95,37.19,7.52,4.96,Restricciones_Combustible,7.4,23517.98,13676.94
7,2002-07-20,55.31,49.05,6.51,6.54,Condiciones_Ambientales,7.3,20303.43,18006.09
8,2015-07-01,38.6,54.52,4.54,7.27,Restricciones_Combustible,42.7,82486.85,116499.98
9,2015-11-21,30.15,33.82,3.55,4.51,Degradación_Equipos,61.4,92567.31,103815.18
10,2003-03-01,57.33,24.47,6.74,3.26,Falla_Menor,22.0,63197.47,26975.08
11,2005-08-10,66.72,46.01,7.85,6.13,Mantenimiento_Programado,28.2,94003.17,64819.32
12,2013-03-10,67.44,34.15,7.93,4.55,Restricciones_Combustible,13.2,44653.36,22611.34
13,2014-09-26,51.24,50.75,6.03,6.77,Degradación_Equipos,64.9,166397.66,164793.44
14,2006-01-15,64.14,54.03,7.55,7.2,Degradación_Equipos,50.3,161251.92,135832.3
15,2002-09-16,53.01,32.16,6.24,4.29,Falla_Menor,56.8,150463.96,91285.2
16,2018-10-24,62.24,23.46,7.32,3.13,Restricciones_Combustible,32.6,101559.85,38280.5
17,2007-06-23,61.16,35.31,7.19,4.71,Condiciones_Ambientales,43.3,132435.61,76466.87
18,2018-06-21,62.04,32.71,7.3,4.36,Restricciones_Combustible,20.0,62179.06,32781.05
19,2005-01-09,48.6,36.68,5.72,4.89,Restricciones_Combustible,31.2,75808.67,57218.9
20,2011-02-17,49.56,54.23,5.83,7.23,Mantenimiento_Programado,16.9,41963.55,45916.13
21,2013-01-29,43.0,35.69,5.06,4.76,Mantenimiento_Programado,61.6,132457.71,109927.51
22,2008-03-07,49.07,48.08,5.77,6.41,Mantenimiento_Programado,66.3,162676.66,159392.34
23,2003-09-02,48.09,29.37,5.66,3.92,Mantenimiento_Programado,9.9,23700.47,14474.58
24,2019-09-16,42.03,25.48,4.95,3.4,Degradación_Equipos,39.7,83526.06,50634.15
25,2016-04-13,45.58,33.63,5.36,4.48,Mantenimiento_Programado,27.4,62506.35,46115.09
26,2015-07-07,29.28,37.12,3.45,4.95,Condiciones_Ambientales,66.5,97384.65,123442.94
27,2005-08-18,43.2,23.74,5.08,3.17,Restricciones_Combustible,59.6,128727.27,70740.0
28,2015-06-24,54.22,54.58,6.38,7.28,Condiciones_Ambientales,62.6,169627.99,170772.59
29,2010-04-04,47.06,30.71,5.54,4.1,Falla_Menor,25.6,60250.52,39319.4
30,2013-10-22,63.76,26.54,7.5,3.54,Condiciones_Ambientales,42.1,134232.34,55875.0
31,2006-10-16,59.94,32.97,7.05,4.4,Restricciones_Combustible,31.4,93997.45,51697.34
32,2014-12-08,61.6,44.44,7.25,5.93,Condiciones_Ambientales,33.4,102825.86,74181.24
33,2015-02-18,30.49,37.75,3.59,5.03,Mantenimiento_Programado,27.0,41145.19,50944.73
34,2012-06-07,42.99,30.68,5.06,4.09,Mantenimiento_Programado,48.2,103589.58,73919.88
35,2003-11-06,36.88,26.07,4.34,3.48,Condiciones_Ambientales,68.8,126833.43,89633.25
36,2001-12-14,36.26,50.95,4.27,6.79,Falla_Menor,67.3,122097.85,171572.76
37,2015-03-12,51.7,36.72,6.08,4.9,Restricciones_Combustible,9.8,25336.07,17995.11
38,2002-08-27,41.88,55.18,4.93,7.36,Mantenimiento_Programado,24.1,50426.57,66446.49
39,2013-05-22,25.52,34.83,3.0,4.64,Condiciones_Ambientales,15.4,19595.8,26741.68
40,2003-01-20,45.18,57.06,5.32,7.61,Falla_Menor,45.6,103048.43,130131.49
