Dia,Generacion_Total,Demanda,BESS_Nivel,Beneficio_Acumulado,Vendida_Generacion,Vendida_BESS,Turbina_Habilitada,FO
1,45505.44,3704.12,970.1999999999999,-296848.4,3704.12,0.0,1,100000.0
2,44178.24,4946.0464999999995,976.0,-518328.4750000001,4946.0464999999995,0.0,1,100000.0
3,51014.880000000005,4580.77,981.0,-826438.7750000001,4580.77,0.0,1,100000.0
4,45434.64,3657.1,971.9,-1124930.1750000003,3657.1,0.0,1,100000.0
5,20666.32,3578.13,975.3000000000001,-1172686.8750000002,3578.13,0.0,1,0.0
6,40743.84,3976.3664999999996,983.1,-1408306.9500000002,3976.3664999999996,0.0,1,0.0
7,41279.76,3564.96,972.3000000000001,-1669856.5500000003,3564.96,0.0,1,50000.0
8,17885.36,5626.57,977.0,-1587381.6500000004,5626.57,0.0,1,0.0
9,43390.8,5598.49,982.1999999999999,-1768365.1500000004,5598.49,0.0,1,0.0
10,45785.952000000005,5170.89,976.7,-1994680.1700000004,5170.89,0.0,1,50000.0
11,18442.64,3517.6775,987.6,-2023222.6950000003,3517.6775,0.0,1,0.0
12,38359.0944,5583.99,986.6,-2154614.1390000004,5583.99,0.0,1,0.0
13,44728.08,4166.49,988.4,-2420570.4390000002,4166.49,0.0,1,50000.0
14,39574.351200000005,3406.76,983.9,-2672975.9510000004,3406.76,0.0,1,50000.0
15,19677.199999999997,3289.0,979.0,-2725297.9510000004,3289.0,0.0,1,0.0
16,14850.48,3401.63,980.7,-2723721.251,3401.63,0.0,1,0.0
17,15243.36,3655.62,982.7,-2713373.8510000003,3655.62,0.0,1,0.0
18,44321.52,3855.21,980.6,-2990828.551,3855.21,0.0,1,0.0
19,47880.96000000001,3575.12,984.7,-3317882.151,3575.12,0.0,1,50000.0
20,43141.8048,4107.8345,970.7,-3570908.474,4107.8345,0.0,1,50000.0
21,17640.800000000003,4224.81,973.0,-3556075.974,4224.81,0.0,1,0.0
22,49151.520000000004,3224.17,981.3,-3913382.674,3224.17,0.0,1,0.0
23,44769.600000000006,4646.5289999999995,979.5,-4155752.2240000004,4646.5289999999995,0.0,1,50000.0
24,51461.04,4307.66,972.7,-4481979.624000001,4307.66,0.0,1,50000.0
25,20482.16,3820.05,987.9,-4515798.724,3820.05,0.0,1,0.0
26,41225.03999999999,3149.83,987.3,-4797557.624,3149.83,0.0,1,0.0
27,18747.920000000002,4183.91,989.5,-4795841.324,4183.91,0.0,1,0.0
28,47998.799999999996,3686.53,980.6,-5118502.824,3686.53,0.0,1,0.0
29,38434.9704,4517.86,970.1999999999999,-5303959.528,4517.86,0.0,1,50000.0
30,19070.239999999998,4080.03,989.3,-5310660.428,4080.03,0.0,1,0.0
31,48292.8,3890.6,976.6,-5626058.428,3890.6,0.0,1,0.0
32,47391.119999999995,3526.5,970.9,-5950644.6280000005,3526.5,0.0,1,50000.0
33,43734.240000000005,3406.17,981.5,-6244678.528000001,3406.17,0.0,1,50000.0
34,50809.92,4436.82,970.7,-6557936.728000001,4436.82,0.0,1,50000.0
35,45588.24,4486.43,983.0,-6816497.628000001,4486.43,0.0,1,50000.0
36,12815.599999999999,4437.826999999999,981.5,-6742762.278000002,4437.826999999999,0.0,1,0.0
37,47827.2,5392.51,973.0999999999999,-6978408.778000002,5392.51,0.0,1,0.0
38,45721.2,4641.93,978.8,-7230524.278000002,4641.93,0.0,1,50000.0
39,46457.76,4780.1245,979.3,-7483095.653000002,4780.1245,0.0,1,50000.0
40,18582.56,3188.25,987.1,-7529508.753000001,3188.25,0.0,1,0.0
41,44470.8,4024.97,973.5,-7799968.253000001,4024.97,0.0,1,0.0
42,40825.67999999999,4142.07,984.8,-8028121.553000001,4142.07,0.0,1,50000.0
